,start_frame,start_frame_sec,video_uid,clip_uid,total_frames,label,end_frame_sec,filename,end_frame,Unnamed: 0
6304,83901,459.36475,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,26,use_phone,460.2231,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,83927,6305.0
6305,79676,318.5428,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,23,serve_food_onto_a_plate,319.30127,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,79699,6306.0
6306,72307,72.35426,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,30,put_away_(or_take_out)_food_items_in_the_fridge,73.35693,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,72337,6307.0
6307,84516,479.86785,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,5,use_other_kitchen_appliance,480.022,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,84521,6308.0
6308,84302,472.73148,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,33,converse,473.84339,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,84335,6309.0
6309,72279,71.4295,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,59,put_away_(or_take_out)_food_items_in_the_fridge,73.41,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,72338,6310.0
6310,77943,260.23826,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,2413,serve_food_onto_a_plate,341.194,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,80356,6311.0
6311,83803,456.09633,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,178,use_phone,462.031,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,83981,6312.0
6312,84293,472.42774,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,121,converse,476.479,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,84414,6313.0
6313,83902,459.40233,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,9,use_phone,459.68824,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,83911,6314.0
6314,79704,319.45181,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,415,stir,333.30625,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,80119,6315.0
6315,84295,472.5,c41806a7-231e-494f-8e0b-f72587269f79,011c7b31-fb5e-4269-afc8-97f00c5b73b4,40,converse,473.82131,v1/full_scale/c41806a7-231e-494f-8e0b-f72587269f79.mp4,84335,6316.0
7956,70807,27.80601,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,13,throw_away_trash,28.218,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,70820,7957.0
7957,70935,32.07641,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,273,wash_dishes,41.182,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,71208,7958.0
7958,71761,59.58814,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,204,converse,66.408,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,71965,7959.0
7959,71858,62.8435,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,65,use_phone,64.996,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,71923,7960.0
7960,72943,106.19153,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,107,put_away_(or_take_out)_dishes,109.753,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,73050,7961.0
7961,73468,123.70581,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,88,measure_ingredient_in_a_measuring_cup_or_spoon,126.639,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,73556,7962.0
7962,73882,137.49526,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,23,turn-on,138.277,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,73905,7963.0
7963,74444,156.23364,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,9046,stir,457.781,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,83490,7964.0
7964,82848,436.38274,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,165,clean,441.873,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,83013,7965.0
7965,83664,463.56864,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,493,serve_food_onto_a_plate,480.0,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,84157,7966.0
